code,nom,departement,tube,couleur_tube,delai,jeune,remarques
CP II,C-propeptide du Procollagène de Type II,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_709388/c-propeptide-du-procollagene-de-type-ii | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY)
CRPS,CRP Ultrasensible (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_642189/crp-ultrasensible-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CAX,Calcium (Liquides de ponction),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_21716510/calcium-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CA,Calcium (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498470/calcium-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CAU,Calcium (Urines),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498478/calcium-urines | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
TRF_CAP,Capacité de fixation de la Transferrine (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498827/capacite-de-fixation-de-la-transferrine-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CLL,Chlorures (LCR),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498674/chlorures-lcr | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CLX,Chlorures (Liquide de ponction),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498677/chlorures-liquide-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CL,Chlorures (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498669/chlorures-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CLU,Chlorures (Urines),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498671/chlorures-urines | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
HDL,Cholestérol HDL (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_496965/cholesterol-hdl-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
LDL,Cholestérol LDL (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_496960/cholesterol-ldl-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CHTX,Cholestérol total (Liquides de ponction),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_21716505/cholesterol-total-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CHT,Cholestérol total (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_496853/cholesterol-total-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CHE,Cholinestérases (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498493/cholinesterases-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
C3X,Complément C3 (Liquides de ponction),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_23659689/complement-c3-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
C3,Complément C3 (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_23939841/complement-c3-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
C4X,Complément C4 (Liquide de ponction),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_23532686/complement-c4-liquide-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
C4,Complément C4 (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_23939834/complement-c4-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
COR,Cortisol,Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351695/cortisol | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
TRF_COEF,Coéfficient de saturation de la transferrine (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_1851266/coefficient-de-saturation-de-la-transferrine-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
